,Game Title,Weekly Sales,All Time Sales,Weeks Out
3995,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
3996,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
3997,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
3998,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
3999,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
4000,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
4001,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
4002,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
4003,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
4004,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
4005,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
4006,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
4007,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
4008,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
4009,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
4010,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
4011,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
4012,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
4013,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
4014,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
4015,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
4016,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
4017,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
4018,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
4019,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
4020,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
4021,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
4022,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
4023,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
4024,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
4025,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
4026,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
4027,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
4028,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
4029,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
